given_name,surname,gender,birthdate,country_of_birth,current_country,phone_number,postcode,national_insurance_number,bank_account_number,cc_status,weight,height,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited
Jodie,Newton,F,1997-05-18,Georgia,United Kingdom,+447700 900240,SM17 1ER,ZZ 41 69 48 T,019066857,0,99.0,1.93,O+,3.1,182.8,secondary,25
Pauline,Shah,F,1972-08-03,Central African Republic,United Kingdom,+44(0)7700 900118,G4F 8JS,ZZ 99 25 20 T,062185934,0,42.7,1.42,O-,5.4,100.1,bachelor,33
Lee,Hunter,M,1994-02-16,Uzbekistan,United Kingdom,07700 900789,ME4N 3BR,ZZ853954T,121720175,0,38.9,1.53,A+,1.9,342.7,primary,7
Owen,White,M,1978-09-02,Equatorial Guinea,United Kingdom,+447700 900055,EH5Y 5RH,ZZ 69 84 69 T,018150625,0,54.4,1.55,O+,10.0,267.0,other,21
Jordan,Lee,M,1959-05-05,Palestinian Territory,United Kingdom,+447700900435,E36 4AD,ZZ463270T,030290152,0,54.2,1.7,O+,4.6,467.6,phD,36
Richard,King,M,1971-04-13,Luxembourg,United Kingdom,(07700) 900495,SA8N 9WB,ZZ 23 31 21 T,019819965,0,60.8,1.82,A+,1.0,453.9,bachelor,32
Carole,Brooks,F,1982-10-20,American Samoa,United Kingdom,+44(0)7700900985,NE3E 8NR,ZZ 807993 T,074841596,0,66.4,1.93,O-,2.7,303.8,secondary,28
Lindsey,Simpson,F,2003-04-06,Malawi,United Kingdom,(07700) 900771,M5T 6PA,ZZ 59 18 39 T,110004718,0,98.9,1.94,B+,8.2,384.5,bachelor,17
Garry,King,M,1957-04-01,Luxembourg,United Kingdom,+44(0)7700900348,TN4 6ZT,ZZ450999T,051512673,0,89.8,1.41,O+,4.4,449.0,secondary,25
Holly,Bradley,F,1974-10-31,Niger,United Kingdom,+44(0)7700 900328,LL47 1GX,ZZ 45 55 06 T,115247088,0,81.3,1.9,A+,2.9,19.0,other,34
Tina,Stokes,F,1974-04-10,Senegal,United Kingdom,+44(0)7700 900 515,W9 5ZN,ZZ 470723 T,063106763,0,87.1,1.62,A+,3.8,328.9,secondary,45
Josephine,Taylor,F,1958-05-22,Greece,United Kingdom,07700 900 074,G71 8BL,ZZ 20 04 68 T,119415793,0,47.6,1.47,A+,2.3,223.4,masters,13
Leslie,Phillips,M,1971-08-22,Australia,United Kingdom,+44(0)7700900837,B6F 8HE,ZZ 308523 T,107876276,0,78.4,1.88,O+,9.8,294.3,primary,12
Wayne,Thompson,M,1980-06-08,Zimbabwe,United Kingdom,+44(0)7700 900454,S00 2ZP,ZZ 200829 T,031228262,0,85.2,1.65,O+,7.9,158.6,other,33
Georgina,Brown,F,1975-07-03,Guatemala,United Kingdom,+44(0)7700 900 039,N5 1YQ,ZZ163594T,033829287,0,83.2,1.86,O-,1.5,279.1,secondary,46
William,Newton,M,1995-07-18,Moldova,United Kingdom,+44(0)7700 900919,N47 7GR,ZZ515242T,067155451,1,91.9,1.44,B+,7.2,369.1,other,40
Keith,Carroll,M,1969-12-21,Cook Islands,United Kingdom,07700900979,SE93 5FA,ZZ691064T,103609366,0,80.6,1.48,A+,4.8,149.1,phD,30
Mohammad,Hewitt,M,1989-06-26,Nepal,United Kingdom,+447700 900 660,DD2 1WZ,ZZ296324T,017575832,0,87.3,2.0,O+,4.1,63.7,masters,5
Dean,Swift,M,1957-11-01,Liechtenstein,United Kingdom,+44(0)7700900243,AL4 3AJ,ZZ 624983 T,036975798,0,97.4,1.78,O+,0.4,257.2,secondary,18
Joseph,Holland,M,1996-09-01,Indonesia,United Kingdom,+44(0)7700 900654,M74 9JT,ZZ 27 70 63 T,094614428,0,58.3,1.66,O+,7.2,158.8,secondary,3
Keith,Mitchell,M,1976-10-20,Bulgaria,United Kingdom,07700900539,G0B 4YN,ZZ204951T,074598849,0,83.1,1.78,O+,7.7,428.3,bachelor,49
Michelle,Hunt,F,1993-10-26,Sudan,United Kingdom,07700 900 056,W5S 1SS,ZZ 194852 T,010265055,0,73.2,1.42,AB-,1.3,370.2,masters,20
Mohammed,Lewis,M,1996-03-14,Iran,United Kingdom,+447700900119,L3F 2BD,ZZ 53 69 16 T,045112432,0,83.7,1.67,O+,9.2,73.3,other,22
Hugh,Newman,M,1967-07-15,Cuba,United Kingdom,+447700 900 633,M6 8EZ,ZZ548379T,049091465,0,99.4,1.52,O+,1.1,325.5,masters,35
Danny,Spencer,M,1958-06-09,Bolivia,United Kingdom,(07700)900519,CB3 9DE,ZZ725323T,030907788,0,60.6,1.75,O+,9.3,26.8,secondary,7
Martyn,Smith,M,1972-09-24,Cuba,United Kingdom,+44(0)7700 900 152,GY1R 3UL,ZZ372939T,075646224,0,67.9,1.78,O+,8.9,494.5,bachelor,43
Hilary,Freeman,F,1963-05-16,South Georgia and the South Sandwich Islands,United Kingdom,(07700) 900 959,AB4 3RJ,ZZ950506T,120980000,0,91.9,1.43,A+,2.7,231.0,bachelor,7
Yvonne,Nolan,F,1976-05-10,Korea,United Kingdom,(07700)900086,S4 5BB,ZZ190819T,090399640,0,47.0,1.65,B-,4.5,399.9,other,40
Adam,Griffiths,M,1964-03-01,Tokelau,United Kingdom,07700900833,PL46 0WW,ZZ132671T,043126763,0,39.3,1.54,A+,2.0,264.2,bachelor,25
Pamela,Jenkins,F,1968-12-14,Mayotte,United Kingdom,07700 900 862,ME9E 4RY,ZZ796583T,024883546,0,84.6,1.92,O+,4.6,298.1,secondary,29
Trevor,Taylor,M,1985-06-12,Faroe Islands,United Kingdom,(07700) 900655,E44 1JS,ZZ 253673 T,058561973,0,80.2,1.46,A+,8.5,385.5,secondary,20
Beverley,Davies,F,1967-03-25,Northern Mariana Islands,United Kingdom,07700 900844,S6 0ZG,ZZ 66 56 60 T,057990105,0,74.9,1.53,A+,4.3,336.3,masters,43
Keith,Hunt,M,1993-12-11,Dominica,United Kingdom,07700900562,M7D 4FZ,ZZ 32 00 74 T,058067927,0,57.0,1.51,O+,7.7,258.4,other,9
Karen,Thompson,F,1956-07-08,Maldives,United Kingdom,+447700 900 515,W8 4RB,ZZ772318T,091838650,0,45.6,1.82,A+,5.7,210.1,bachelor,45
Valerie,Wilson,F,1996-07-16,Bahamas,United Kingdom,(07700)900419,G1H 7QL,ZZ208226T,123498900,0,37.1,1.59,B-,4.2,115.6,secondary,47
Richard,Wilson,M,1994-11-02,Seychelles,United Kingdom,+44(0)7700 900547,PO4M 5FD,ZZ 781122 T,066384553,0,35.2,1.91,A+,2.0,127.6,phD,12
Pamela,Buckley,F,1956-08-18,Maldives,United Kingdom,07700 900619,KT7B 7FR,ZZ 268056 T,054219782,0,95.3,1.47,A+,7.4,98.0,secondary,10
Charles,Johnston,M,1996-05-29,Comoros,United Kingdom,+447700900037,SR8P 8XB,ZZ 348340 T,095462035,0,42.1,1.59,B+,0.2,194.2,secondary,26
Dorothy,Hodgson,F,1969-12-23,Kiribati,United Kingdom,(07700) 900006,NR02 5SJ,ZZ685921T,063066450,0,40.2,1.76,O+,2.4,381.0,phD,41
Lewis,Pollard,M,1971-12-25,Mongolia,United Kingdom,+44(0)7700 900 907,L42 7JB,ZZ 36 66 02 T,104409345,0,47.5,1.56,O+,3.8,351.7,secondary,9
Norman,Palmer,M,1997-08-14,Peru,United Kingdom,+44(0)7700900517,DT9 1QT,ZZ 44 10 19 T,073737863,0,97.3,1.52,O+,2.7,443.6,secondary,34
Garry,Jones,M,1966-11-05,Cape Verde,United Kingdom,07700 900 871,RG52 9ZP,ZZ937602T,054846906,1,80.5,1.91,O+,4.8,310.9,secondary,25
Jill,Morgan,F,1960-07-27,Latvia,United Kingdom,(07700) 900785,PR14 6TQ,ZZ275149T,049284120,0,46.1,1.66,A+,0.7,422.2,masters,28
Sarah,Carr,F,1995-08-29,Saint Lucia,United Kingdom,+44(0)7700 900878,FY20 5NS,ZZ 00 36 10 T,077931403,0,84.8,1.56,A-,2.2,394.5,secondary,42
Angela,Jones,F,1959-02-06,Bangladesh,United Kingdom,07700 900 427,L33 0TU,ZZ210900T,113640742,0,87.7,1.78,O-,7.5,280.6,masters,15
Carol,Humphreys,F,1961-05-03,Heard Island and McDonald Islands,United Kingdom,+44(0)7700900583,L8J 8JG,ZZ 51 14 66 T,094821567,0,97.9,1.54,A+,3.3,251.3,primary,29
Elizabeth,Perry,F,1968-07-27,Suriname,United Kingdom,07700 900 680,M9T 3AB,ZZ 03 51 14 T,057016348,0,75.5,1.97,O-,8.2,303.9,secondary,3
Abigail,Poole,F,1996-02-09,Nepal,United Kingdom,+44(0)7700900128,N5 5BD,ZZ454027T,063316582,1,88.2,1.6,A+,7.8,372.0,other,44
Joyce,Ford,F,1967-11-12,Northern Mariana Islands,United Kingdom,+44(0)7700 900 381,SO8 0QH,ZZ993781T,083595590,0,66.4,1.59,B-,3.0,430.9,masters,17
Rosie,Lyons,F,1957-07-25,Suriname,United Kingdom,+447700 900 156,IG32 6RX,ZZ331632T,040561198,0,94.1,1.51,O+,9.7,87.6,secondary,35
Harriet,Richards,F,1980-09-19,Cape Verde,United Kingdom,07700900576,GU4 6GT,ZZ 272685 T,061025532,0,74.6,1.53,B+,1.1,160.7,secondary,23
Helen,Edwards,F,1975-08-05,Guyana,United Kingdom,+44(0)7700 900 017,NR9H 7UD,ZZ 13 39 35 T,060440590,0,61.1,1.77,O-,1.3,458.9,secondary,25
Robert,Ward,M,1983-11-03,Belgium,United Kingdom,+44(0)7700900682,LE7V 0QA,ZZ 77 03 80 T,111616273,0,57.6,1.67,O+,9.6,259.5,phD,31
Gerard,Swift,M,1976-07-26,Montenegro,United Kingdom,+447700 900 080,L2K 7GT,ZZ 08 08 77 T,074759989,0,61.9,1.71,A+,1.5,300.1,secondary,42
Toby,Parkinson,M,1967-06-21,Montserrat,United Kingdom,+44(0)7700 900077,FK63 0PR,ZZ399083T,105324885,0,40.4,1.96,A+,1.4,431.3,secondary,34
Diana,Clayton,F,1998-03-28,United States Virgin Islands,United Kingdom,07700 900463,N6 6XU,ZZ 46 55 65 T,074037533,0,97.2,1.83,A+,5.6,359.1,masters,3
Joanne,Saunders,F,1981-06-03,Tokelau,United Kingdom,+447700 900 396,S51 3ND,ZZ 41 32 39 T,126542387,0,83.5,1.71,B+,5.5,352.3,other,32
Mandy,Bailey,F,1964-10-30,Libyan Arab Jamahiriya,United Kingdom,+44(0)7700 900910,WC7 3WX,ZZ 54 22 56 T,124577626,0,39.4,1.7,A+,2.9,178.0,secondary,30
Hilary,Price,F,1973-11-10,Serbia,United Kingdom,+447700 900 670,YO7 0PU,ZZ711844T,106571572,0,43.4,1.44,O+,1.9,4.6,other,28
Brandon,Ali,M,1958-02-17,Indonesia,United Kingdom,+447700900505,W8 3BN,ZZ 839831 T,096180455,0,98.9,1.67,A+,1.2,190.8,phD,9
Judith,Bentley,F,2002-07-14,Saint Lucia,United Kingdom,07700900890,S4H 9XJ,ZZ233733T,055395210,0,64.7,1.79,A+,6.1,472.2,secondary,37
Lorraine,O'Connor,F,1969-11-16,Switzerland,United Kingdom,+44(0)7700 900 936,W49 1NH,ZZ 05 17 44 T,086438586,0,35.4,1.41,O+,9.4,322.1,bachelor,26
Katy,Griffiths,F,1998-07-12,Greece,United Kingdom,+447700 900 518,W99 8QL,ZZ 221214 T,013856856,0,92.0,1.86,AB-,3.0,113.5,secondary,48
Michelle,Harrison,F,1990-02-16,Romania,United Kingdom,+44(0)7700 900 703,S0G 9XX,ZZ 11 56 84 T,113772995,0,70.9,1.65,A+,1.6,481.7,secondary,47
Gareth,Reynolds,M,1987-10-20,Solomon Islands,United Kingdom,(07700)900105,LE2 0DT,ZZ 74 82 29 T,023827011,0,43.4,1.4,O+,1.1,361.0,bachelor,10
Jayne,Parsons,F,1978-09-28,Japan,United Kingdom,(07700)900316,LU9W 9ZY,ZZ405871T,118419509,0,54.4,1.83,O+,3.4,187.8,secondary,32
Eileen,Miller,F,1977-01-10,Panama,United Kingdom,07700900573,WA58 5PY,ZZ376995T,076732700,0,91.9,1.42,O+,4.1,395.6,bachelor,25
Alison,Thomas,F,1955-12-24,Cayman Islands,United Kingdom,07700 900283,ST1X 6HW,ZZ 26 21 65 T,093701138,0,87.7,1.69,O+,2.5,302.5,secondary,30
Marcus,Webb,M,1994-02-16,Western Sahara,United Kingdom,+44(0)7700900191,G4 9WF,ZZ499935T,052725333,0,62.1,1.66,A+,1.3,19.6,primary,15
Philip,Morris,M,1982-09-07,Lebanon,United Kingdom,+447700 900 092,B4B 6BF,ZZ 41 30 97 T,076734151,0,65.9,1.94,A+,1.8,169.3,bachelor,43
Duncan,Pugh,M,1997-09-07,Thailand,United Kingdom,07700 900 019,W7D 8AL,ZZ 03 58 40 T,075333508,0,39.0,1.89,A-,5.7,491.8,primary,9
Dorothy,Ellis,F,1959-03-30,Benin,United Kingdom,(07700) 900 591,S4S 2TT,ZZ391882T,121592141,0,85.0,1.72,AB+,4.0,301.0,secondary,22
Alexandra,Howe,F,1969-12-18,Burkina Faso,United Kingdom,07700 900334,TN0 2XU,ZZ211398T,043273797,0,96.3,1.81,A+,7.7,41.6,other,4
Mandy,Webb,F,1980-07-22,Jamaica,United Kingdom,+447700900206,TR9W 9FR,ZZ883353T,107069708,0,84.3,1.4,A+,7.5,266.2,secondary,21
Mathew,Potter,M,1977-05-06,Tajikistan,United Kingdom,07700900057,S4 3AU,ZZ 37 49 44 T,019541097,0,78.4,1.9,B+,3.9,72.0,masters,36
James,Hutchinson,M,1959-02-02,Canada,United Kingdom,07700 900044,BS1B 9ZB,ZZ 559970 T,099764904,0,78.2,1.5,A+,3.2,297.8,secondary,35
Alice,Evans,F,1977-10-03,Chile,United Kingdom,+447700 900 360,M9 4FZ,ZZ 64 30 09 T,037923956,0,43.7,1.91,O+,7.4,352.3,other,16
Leanne,Waters,F,1990-01-13,Qatar,United Kingdom,07700 900873,EX0 9NY,ZZ345844T,077116325,0,60.7,1.54,A+,9.5,146.3,secondary,30
Glenn,Robinson,M,2002-01-29,Sweden,United Kingdom,(07700) 900 458,RM79 3XT,ZZ139749T,020013860,0,89.2,1.54,B+,6.1,272.8,other,35
Gail,Singh,F,1990-01-30,Bhutan,United Kingdom,07700 900747,WS04 5ZU,ZZ 83 07 93 T,049304165,1,61.9,1.61,A+,1.8,118.6,secondary,38
Judith,Morgan,F,1979-05-28,Cambodia,United Kingdom,+44(0)7700 900 672,CW30 7TE,ZZ 549240 T,048443179,0,88.3,1.54,A+,7.1,196.4,primary,23
Amy,Watson,F,1989-01-12,San Marino,United Kingdom,(07700)900248,B3 5XG,ZZ534380T,116446419,0,56.6,1.99,O+,3.7,51.0,masters,36
Aimee,Tomlinson,F,1995-09-30,Zambia,United Kingdom,07700900380,G9W 2GY,ZZ079483T,115133228,0,42.5,1.83,A+,1.8,159.9,masters,28
Bradley,Lewis,M,1976-09-19,Kiribati,United Kingdom,(07700) 900353,W72 6RL,ZZ 54 72 66 T,086390491,0,79.5,1.72,O+,2.2,423.9,bachelor,36
Amber,Reid,F,2000-09-02,Liberia,United Kingdom,+44(0)7700 900 069,G0A 2DB,ZZ504616T,075332978,0,92.3,1.4,A+,5.9,155.7,secondary,15
Alex,Sinclair,M,1986-08-23,Marshall Islands,United Kingdom,+44(0)7700900291,TF4R 2NX,ZZ 85 69 51 T,067012248,0,72.0,1.87,O+,8.4,207.3,secondary,46
Valerie,Wallace,F,1972-03-06,Central African Republic,United Kingdom,(07700)900583,B83 5GR,ZZ737864T,041876947,0,70.2,1.61,AB+,0.1,306.1,bachelor,16
Sally,Hopkins,F,1966-02-19,Norway,United Kingdom,(07700) 900 782,W2 2AJ,ZZ 39 05 57 T,055955142,0,94.5,1.41,O+,2.9,424.5,bachelor,28
Elliott,Gibbons,M,1960-11-30,Portugal,United Kingdom,+447700 900959,TN6 1AF,ZZ 953018 T,024664574,0,76.1,1.97,O+,9.7,480.8,bachelor,26
Robert,Miller,M,1971-12-07,Faroe Islands,United Kingdom,+44(0)7700900565,E1 5YF,ZZ 049493 T,118583325,0,36.8,1.47,A+,7.6,169.8,bachelor,31
Mohammad,Williams,M,1981-07-18,Svalbard & Jan Mayen Islands,United Kingdom,+44(0)7700900214,SR6N 4SP,ZZ 306251 T,033827496,0,76.9,1.96,O+,6.1,33.9,other,27
Gemma,Williams,F,1985-12-01,Mauritania,United Kingdom,07700900861,L7S 8PX,ZZ 00 49 62 T,043969823,0,62.4,1.55,A+,7.9,311.9,secondary,3
Anne,King,F,1972-04-25,Uzbekistan,United Kingdom,07700 900903,E1S 3JF,ZZ 56 86 15 T,101561859,1,49.1,1.42,O+,9.5,455.2,bachelor,17
Richard,Tucker,M,1959-03-14,French Polynesia,United Kingdom,(07700) 900021,HU4 7SH,ZZ 311627 T,108788208,0,67.0,1.48,A+,2.8,61.8,secondary,46
Sophie,Brown,F,1966-05-08,Costa Rica,United Kingdom,(07700)900901,M2E 6ER,ZZ 048469 T,067400724,0,35.4,1.57,A-,7.8,483.5,secondary,35
Helen,Benson,F,1970-03-10,El Salvador,United Kingdom,(07700) 900 183,DG8M 4TU,ZZ 963303 T,062430867,0,76.4,1.45,A+,9.1,100.5,masters,35
Dennis,Henderson,M,1970-05-24,Bulgaria,United Kingdom,(07700) 900120,BL2 8EE,ZZ 012694 T,017139980,0,70.3,1.83,B-,1.3,386.7,secondary,48
Leonard,Brown,M,1971-10-07,Chad,United Kingdom,07700 900 974,WS9 8ZR,ZZ121827T,030904312,0,56.7,1.74,O-,1.8,139.8,bachelor,24
Callum,Smith,M,1988-12-01,United Arab Emirates,United Kingdom,(07700) 900 498,ZE74 3ZX,ZZ166315T,119308101,0,95.1,1.69,O+,8.0,259.2,secondary,33
Yvonne,Evans,F,1969-11-03,Greenland,United Kingdom,+447700 900 107,WR44 9LR,ZZ 220120 T,069587632,0,38.4,1.95,O+,0.2,172.4,bachelor,25
Suzanne,Long,F,2002-01-26,Macao,United Kingdom,+447700 900 799,OL49 2NG,ZZ 898642 T,119146460,0,56.2,1.89,O+,6.8,402.9,bachelor,22
Dylan,Harper,M,1969-10-25,Mali,United Kingdom,(07700) 900309,ML4B 5RQ,ZZ 963500 T,029861657,0,93.3,1.65,O-,5.0,310.4,masters,29
Terry,Lloyd,M,1978-08-17,Russian Federation,United Kingdom,(07700)900525,BT4 4NF,ZZ963913T,057242400,1,51.0,1.83,B-,4.8,122.0,bachelor,7
Rebecca,Smith,F,1978-07-31,Wallis and Futuna,United Kingdom,+44(0)7700 900170,CV7 3PD,ZZ 47 74 65 T,108211267,0,69.7,1.65,A+,5.0,439.7,secondary,26
Barry,Hopkins,M,1992-11-11,Namibia,United Kingdom,+44(0)7700900482,LN6H 4LP,ZZ 43 14 66 T,067118320,0,47.4,1.99,O+,7.3,49.1,secondary,45
Bernard,Barrett,M,1980-05-25,Saudi Arabia,United Kingdom,(07700) 900020,IG7M 5GA,ZZ 420771 T,077107635,0,75.7,1.77,O+,9.4,71.0,secondary,23
Ashley,Clarke,M,1988-06-05,Kiribati,United Kingdom,07700 900568,ME7 5YN,ZZ 11 13 67 T,029708228,0,49.7,1.69,A+,8.8,162.1,other,49
Hugh,Ali,M,1994-01-26,Pitcairn Islands,United Kingdom,(07700)900252,W62 5GT,ZZ 25 01 44 T,052936782,0,54.0,1.87,A+,3.8,239.3,bachelor,50
Mark,Phillips,M,1983-02-10,Mongolia,United Kingdom,07700 900458,S4E 7JN,ZZ030105T,072401145,0,52.1,1.62,A+,3.6,443.9,secondary,20
Joan,Fuller,F,1965-06-05,Japan,United Kingdom,(07700) 900546,PA84 6JG,ZZ 742192 T,034441512,0,68.6,1.87,A+,4.6,59.1,secondary,9
Paul,Chapman,M,1960-05-05,Montserrat,United Kingdom,+44(0)7700900580,PL7 1GL,ZZ 339520 T,010310719,0,96.6,1.56,B+,8.1,407.8,masters,16
Carl,Chapman,M,1980-02-17,Saint Barthelemy,United Kingdom,+44(0)7700 900623,MK8W 7RH,ZZ 89 96 97 T,036988125,0,47.2,1.66,O+,5.3,443.3,masters,4
Carly,Perry,F,1967-05-31,Germany,United Kingdom,+44(0)7700 900 296,RM9 6NH,ZZ696837T,020978057,0,97.5,1.41,O+,2.0,26.8,bachelor,39
Judith,Hobbs,F,1977-12-16,Liberia,United Kingdom,+44(0)7700 900949,E0W 4GL,ZZ 311930 T,056418905,0,61.5,1.43,A+,1.9,107.6,secondary,15
Julie,Pratt,F,2001-03-29,Djibouti,United Kingdom,07700 900629,PL5B 3UY,ZZ 83 87 27 T,105321477,0,93.1,1.51,O+,0.6,231.4,primary,41
Tina,King,F,1959-11-27,United Arab Emirates,United Kingdom,+447700 900 367,G6A 8JX,ZZ 502181 T,042653169,0,95.7,1.86,A-,9.1,148.1,secondary,7
Sandra,Edwards,F,1965-09-05,Rwanda,United Kingdom,(07700) 900 796,HU2 4RQ,ZZ 33 62 64 T,042055903,0,66.5,1.81,O+,1.5,377.0,bachelor,29
Donna,Kay,F,1989-01-17,Burkina Faso,United Kingdom,+44(0)7700 900028,N76 8FG,ZZ 789209 T,016203969,0,74.0,1.63,O+,3.1,288.3,secondary,44
Kenneth,Jones,M,1983-05-01,Mali,United Kingdom,+447700900147,N7 7FF,ZZ 957501 T,049016437,0,83.7,1.65,O+,0.3,476.1,phD,32
Kevin,Haynes,M,1978-08-18,South Georgia and the South Sandwich Islands,United Kingdom,+447700 900868,L61 7AT,ZZ 03 34 98 T,031796626,0,98.6,1.81,A+,4.6,483.4,secondary,3
Lauren,Preston,F,1961-03-08,Sudan,United Kingdom,07700 900791,L6 4BZ,ZZ 897885 T,111540404,0,41.4,1.64,O+,0.2,279.5,secondary,40
Hugh,Taylor,M,1983-05-02,Guernsey,United Kingdom,07700 900 795,L28 4TT,ZZ 34 21 32 T,024775023,0,83.2,1.94,A-,6.0,347.3,primary,40
Nigel,Dodd,M,1972-09-04,Aruba,United Kingdom,07700 900 429,W4 9ER,ZZ565655T,048473000,0,65.7,1.82,O+,1.9,331.1,phD,13
Olivia,Taylor,F,1980-02-29,Tunisia,United Kingdom,07700900997,IP3 2XL,ZZ 64 94 05 T,029558591,0,97.1,1.56,A+,3.1,129.0,masters,37
Jade,Atkinson,F,1990-05-26,Dominica,United Kingdom,(07700) 900082,SO8 9LQ,ZZ 65 86 55 T,116643814,0,91.0,1.97,O+,6.5,250.3,secondary,16
Bradley,Brady,M,1979-02-20,Taiwan,United Kingdom,+447700 900287,E4D 1LP,ZZ 058025 T,081936342,0,93.6,1.92,B+,3.7,469.5,secondary,29
Richard,Bailey,M,1979-05-25,Martinique,United Kingdom,+44(0)7700 900 450,B9G 7UN,ZZ 60 33 61 T,024152617,0,74.3,1.8,O+,8.7,496.7,masters,24
Victoria,Kelly,F,1967-09-30,Slovenia,United Kingdom,(07700) 900 385,L4 8HL,ZZ 39 73 19 T,060942302,0,79.4,1.71,A+,9.7,169.2,bachelor,44
Brenda,Brooks,F,1987-09-24,Slovakia (Slovak Republic),United Kingdom,+44(0)7700900985,L6T 9QW,ZZ 271375 T,089642078,0,88.2,1.61,AB+,8.8,426.7,secondary,38
Holly,Scott,F,1960-09-28,Nepal,United Kingdom,+44(0)7700 900058,WD69 1HB,ZZ645895T,035215145,0,65.6,1.41,O+,8.6,123.7,secondary,26
Clive,Matthews,M,1962-12-20,Tokelau,United Kingdom,(07700)900926,M4F 9BE,ZZ 71 53 47 T,036388877,0,62.4,1.56,A-,4.5,488.1,other,9
Lucy,Jones,F,1964-10-13,Lebanon,United Kingdom,+447700 900859,MK0H 1PR,ZZ698609T,062242929,0,68.0,1.5,A-,7.4,212.3,masters,37
Kate,Russell,F,1962-09-08,Nauru,United Kingdom,+44(0)7700900599,S52 8ER,ZZ457956T,081277726,0,87.1,1.59,A+,4.0,205.5,secondary,27
Kenneth,Cox,M,2003-10-30,Bouvet Island (Bouvetoya),United Kingdom,+44(0)7700 900529,G9S 3JX,ZZ720984T,058107463,0,39.0,1.67,A+,1.5,391.9,bachelor,9
Nicola,Ball,F,1972-12-22,Lesotho,United Kingdom,07700 900 877,N7G 9BD,ZZ 33 34 58 T,038633818,0,85.3,1.46,O+,7.2,431.1,secondary,24
Claire,Miller,F,1956-10-13,Cocos (Keeling) Islands,United Kingdom,(07700) 900670,N91 2RS,ZZ 775923 T,065929663,0,71.3,1.6,O+,4.6,46.3,secondary,44
Mohammed,James,M,1992-10-29,Suriname,United Kingdom,+447700 900 271,SM4P 0WT,ZZ 40 04 90 T,019385554,0,74.7,2.0,O+,6.2,457.2,masters,26
Patricia,Lewis,F,1995-06-23,Syrian Arab Republic,United Kingdom,(07700) 900020,N1 2QY,ZZ 390685 T,076671803,0,90.0,1.43,O+,4.5,330.4,masters,28
Ross,Smith,M,1963-08-17,Guinea-Bissau,United Kingdom,07700 900758,ZE61 2SR,ZZ009252T,084975410,0,40.0,1.81,O-,8.0,194.9,bachelor,17
Shannon,Harding,F,1989-07-06,Argentina,United Kingdom,+44(0)7700900764,DG0 3ZW,ZZ 36 42 06 T,105972965,0,83.0,1.56,AB+,6.6,34.4,primary,50
Sean,Chapman,M,1994-01-17,Panama,United Kingdom,(07700) 900595,PH99 1RH,ZZ 37 58 38 T,123773120,0,48.5,1.96,O+,5.0,278.8,secondary,31
Keith,Hunter,M,1977-06-18,Brunei Darussalam,United Kingdom,07700 900 998,DA67 4TQ,ZZ 469681 T,077430645,0,77.7,1.62,O+,4.2,254.1,masters,23
Katy,Lee,F,1994-11-08,Namibia,United Kingdom,+447700 900655,G5E 2WH,ZZ172412T,068790899,0,88.7,1.97,A-,5.8,346.8,bachelor,48
Colin,Robson,M,1984-06-05,Norfolk Island,United Kingdom,(07700) 900 409,AB5 1HD,ZZ 606943 T,038158335,0,94.7,1.88,A+,5.7,372.9,secondary,23
Jill,Myers,F,1991-03-31,Isle of Man,United Kingdom,+44(0)7700 900260,EN1 7NL,ZZ060903T,100213865,0,83.9,1.4,B+,3.4,304.6,masters,6
Dennis,Booth,M,1963-04-01,Bolivia,United Kingdom,+44(0)7700 900351,DD2V 7WZ,ZZ 169838 T,125486716,0,83.0,1.75,AB+,5.0,68.1,bachelor,31
Kim,Savage,F,1983-09-18,Tunisia,United Kingdom,07700 900548,BN0N 1JQ,ZZ 058393 T,061101579,0,96.0,1.48,A+,1.5,122.5,bachelor,31
Gordon,Johnson,M,1983-05-18,Luxembourg,United Kingdom,(07700)900502,CA85 6PB,ZZ692577T,045990939,0,66.3,1.67,O+,4.7,379.2,secondary,28
Teresa,Wallis,F,1961-12-31,Netherlands,United Kingdom,07700900673,GU9X 0UB,ZZ 20 72 36 T,030328037,0,65.2,1.77,A+,7.6,39.5,other,24
Joshua,Schofield,M,1992-07-02,Slovakia (Slovak Republic),United Kingdom,07700 900 368,TN7Y 7WR,ZZ072731T,047056169,0,63.1,1.8,A+,3.1,418.0,bachelor,12
George,Cooper,M,1997-05-13,Saint Lucia,United Kingdom,+447700900642,NR48 6DQ,ZZ 087469 T,087578830,0,53.7,1.51,AB-,3.1,62.4,secondary,23
Laura,Franklin,F,1971-07-12,Swaziland,United Kingdom,(07700) 900 446,FY42 3FZ,ZZ388770T,108700914,0,40.9,1.46,O-,4.5,75.3,bachelor,28
Glenn,Watts,M,1995-01-12,Belarus,United Kingdom,+447700900326,M2S 4ZY,ZZ442438T,126330829,0,57.1,1.54,B-,2.9,111.1,phD,9
Ashley,Wright,M,1971-01-11,Estonia,United Kingdom,(07700) 900 089,BS7M 0QR,ZZ785644T,094594001,0,52.8,1.53,O+,3.3,56.3,secondary,8
Justin,Edwards,M,1981-06-13,Tajikistan,United Kingdom,(07700)900977,HX8E 0RY,ZZ 12 34 47 T,104340828,0,59.0,1.78,B-,1.4,324.5,phD,6
